Country,Total cases,Total deaths,Total recovered,New cases,New deaths,Active cases,Critical cases,Total cases per 1M pop.,Gross Total cases,Gross Total deaths
U.S. Virgin Islands,17,0,0,0,0,17,0,163,17,0
Guinea,16,0,0,0,0,16,0,1,16,0
Haiti,15,0,1,0,0,14,0,1,15,0
New Caledonia,15,0,0,0,0,15,0,53,15,0
Tanzania,14,0,1,0,0,13,0,0,14,0
Bahamas,14,0,1,0,0,13,0,36,14,0
Mongolia,12,0,2,0,0,10,0,4,12,0
Cayman Islands,12,1,0,0,0,11,0,183,12,1
Eritrea,12,0,0,0,0,12,0,3,12,0
Equatorial Guinea,12,0,0,0,0,12,0,9,12,0
Namibia,11,0,2,0,0,9,0,4,11,0
Dominica,11,0,0,0,0,11,0,153,11,0
Saint Martin,11,0,0,0,0,11,0,284,11,0
Greenland,10,0,2,0,0,8,0,176,10,0
Myanmar,10,0,0,0,0,10,0,0,10,0
Saint Lucia,9,0,1,0,0,8,0,49,9,0
Côte d'Ivoire,9,0,1,0,0,0,0,0,9,0
Eswatini,9,0,0,0,0,9,0,8,9,0
Grenada,9,0,0,0,0,9,0,80,9,0
Syria,9,1,0,0,0,8,0,0,9,1
Curaçao,8,1,2,0,0,5,0,49,8,1
Mozambique,8,0,0,0,0,8,0,0,8,0
Guyana,8,1,0,0,0,7,0,10,8,1
Seychelles,8,0,0,0,0,8,0,81,8,0
Suriname,8,0,0,0,0,8,0,14,8,0
Laos,8,0,0,0,0,8,0,1,8,0
Libya,8,0,0,0,0,8,0,1,8,0
Antigua and Barbuda,7,0,0,0,0,7,0,71,7,0
Angola,7,2,0,0,0,5,0,0,7,2
Gabon,7,1,0,0,0,6,0,3,7,1
Zimbabwe,7,1,0,0,0,6,0,0,7,1
Cabo Verde,6,1,0,0,0,5,0,11,6,1
Benin,6,0,0,0,0,6,0,0,6,0
Sudan,6,1,0,0,0,5,0,0,6,1
Vatican City,6,0,0,0,0,6,0,7491,6,0
Mauritania,5,0,2,0,0,3,0,1,5,0
Nepal,5,0,1,0,0,4,0,0,5,0
Fiji,5,0,0,0,0,5,0,6,5,0
Montserrat,5,0,0,0,0,5,0,1002,5,0
St. Barth,5,0,0,0,0,5,0,506,5,0
Turks and Caicos,4,0,0,0,0,4,0,103,4,0
Gambia,4,1,0,0,0,3,0,2,4,1
Nicaragua,4,1,0,0,0,3,0,1,4,1
Bhutan,4,0,0,0,0,4,0,5,4,0
Chad,3,0,0,0,0,3,0,0,3,0
CAR,3,0,0,0,0,3,0,1,3,0
Liberia,3,0,0,0,0,3,0,1,3,0
Somalia,3,0,0,0,0,3,0,0,3,0
Central African Republic,3,0,0,0,0,0,0,0,3,0
British Virgin Islands,2,0,0,0,0,2,0,66,2,0
Anguilla,2,0,0,0,0,2,0,133,2,0
Belize,2,0,0,0,0,2,0,5,2,0
Faroe Islands,2,0,0,0,0,0,0,0,2,0
Saint Kitts and Nevis,2,0,0,0,0,2,0,38,2,0
Guinea-Bissau,2,0,0,0,0,2,0,1,2,0
Kosovo,2,0,0,0,0,0,0,0,2,0
MS Zaandam,2,0,0,0,0,2,0,0,2,0
St. Vincent Grenadines,1,0,1,0,0,0,0,9,1,0
Timor-Leste,1,0,0,0,0,1,0,1,1,0
Papua New Guinea,1,0,0,0,0,1,0,0,1,0
Saint Vincent and the Grenadines,1,0,0,0,0,0,0,0,1,0
Guernsey,0,0,0,0,0,0,0,0,0,0
Jersey,0,0,0,0,0,0,0,0,0,0
